year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2006.53340,,19.45000,,
2006.56050,,18.71000,,
2006.58770,,17.05000,,
2006.61480,,14.43000,,
2006.64200,,17.60000,,
2006.66910,,20.14000,,
2006.69630,,19.92000,,
2006.72350,,20.74000,,
2006.75070,,19.67000,,
2006.77770,,20.90000,,
2006.80490,,20.16000,,
2006.82440,,19.67000,,
2006.88940,,18.09000,,
2006.91350,,17.11000,,
2006.94030,,21.64000,,
2006.96790,,20.34000,,
2006.99490,,19.28000,,
2007.02200,,16.61000,,
2007.04920,,15.16000,,
2007.07650,,18.28000,,
2007.10350,,17.21000,,
2007.13030,,16.76000,,
2007.15780,,18.64000,,
2007.18490,,16.95000,,
2007.21210,,18.44000,,
2007.23920,,18.94000,,
2007.26600,,21.69000,,
2007.29350,,21.62000,,
2007.32070,,20.73000,,
2007.34790,,15.04000,,
2007.37500,,20.03000,,
2007.40220,,21.28000,,
2007.42920,,19.13000,,
2007.45640,,15.76000,,
2007.48360,,15.72000,,
2007.51070,,16.58000,,
2007.53780,,15.42000,,
2007.56500,,14.83000,,
2007.59210,,16.55000,,
2007.61930,,19.70000,,
2007.64660,,17.05000,,
2007.67360,,15.30000,,
2007.70070,,15.50000,,
2007.72790,,20.75000,,
2007.75500,,19.93000,,
2007.78220,,18.10000,,
2007.80930,,18.02000,,
2007.83650,,15.71000,,
2007.86370,,19.25000,,
2007.89080,,23.93000,,
2007.91800,,23.09000,,
2007.94510,,21.06000,,
2007.97230,,16.16000,,
2007.99950,,18.11000,,
2008.02660,,19.33000,,
2008.05370,,22.66000,,
2008.08080,,22.34000,,
2008.10800,,20.15000,,
2008.13510,,21.47000,,
2008.16230,,18.52000,,
2008.18940,,21.71000,,
2008.21660,,22.18000,,
2008.24370,,21.27000,,
2008.27090,,19.81000,,
2008.29810,,21.14000,,
2008.32530,,20.95000,,
2008.34560,,20.14000,,
2008.37950,,25.54000,,
2008.40660,,25.47000,,
2008.43380,,23.21000,,
2008.46090,,21.92000,,
2008.48810,,23.64000,,
2008.51520,,24.67000,,
2008.54230,,24.47000,,
2008.54250,,,22.79000,
2008.56950,,22.45000,21.94000,
2008.59220,,21.44000,,
2008.59680,,,20.11000,
2008.62380,,,22.48000,
2008.65070,,,21.21000,
2008.65090,,18.62000,,
2008.67810,,,21.07000,
2008.67820,,21.15000,,
2008.70520,,19.58000,20.07000,
2008.73240,,20.96000,21.68000,
2008.75950,,22.79000,22.06000,
2008.78670,,21.72000,22.56000,
2008.81380,,23.89000,23.21000,
2008.84100,,,21.61000,
2008.84110,,21.74000,,
2008.86810,,24.74000,23.83000,
2008.89530,,24.17000,22.72000,
2008.92240,,,27.33000,
2008.92250,,27.57000,,
2008.94960,,22.66000,22.88000,
2008.97680,,,21.40000,
2008.97690,,20.89000,,
2009.00390,,23.13000,23.22000,
2009.03100,,24.04000,,
2009.03160,,,23.79000,
2009.05820,,23.55000,23.31000,
2009.08530,,,22.60000,
2009.11240,,,20.35000,
2009.12670,,20.67000,,
2009.13960,,,22.25000,
2009.15310,,23.85000,,
2009.16670,,,23.53000,
2009.18030,,27.19000,,
2009.19390,,,24.41000,
2009.20740,,27.80000,,
2009.22100,,,25.03000,
2009.23460,,27.31000,,
2009.24820,,,25.01000,
2009.26180,,26.27000,,
2009.27530,,,24.38000,
2009.28890,,23.90000,,
2009.30250,,,25.03000,
2009.31600,,26.11000,,
2009.32960,,,25.28000,
2009.34320,,28.13000,,
2009.35670,,,24.79000,
2009.37030,,24.32000,,
2009.38390,,,23.93000,
2009.39750,,24.47000,,
2009.41070,,,23.37000,
2009.42460,,24.15000,,
2009.43820,,,25.46000,
2009.45180,,28.00000,,
2009.46530,,,26.06000,
2009.47890,,25.19000,,
2009.49250,,,24.25000,
2009.50610,,24.98000,,
2009.51970,,,22.40000,
2009.53320,,24.96000,,
2009.54680,,,23.82000,
2009.56040,,28.11000,,
2009.57400,,,27.43000,
2009.58750,,27.36000,,
2009.60110,,,24.28000,
2009.61470,,25.44000,,
2009.62830,,,25.23000,
2009.64180,,24.71000,,
2009.65540,,,25.36000,
2009.66900,,26.84000,,
2009.68260,,,26.04000,
2009.69470,,29.60000,,
